phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://kujolang.ai/ecosystem/presswire/,PressWire,Kujo,Evaluate and select a Kujo capability,PressWire,PressWire — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use PressWire?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/primitives/,Primitives,Kujo,Evaluate and select a Kujo capability,Primitives,Primitives ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Primitives?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/rag/,RAG,Kujo,Evaluate and select a Kujo capability,RAG,RAG — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use RAG?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/readersignal/,ReaderSignal,Kujo,Evaluate and select a Kujo capability,ReaderSignal,ReaderSignal — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use ReaderSignal?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/redact/,Redact,Kujo,Evaluate and select a Kujo capability,Redact,Redact — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Redact?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/relay/,Relay,Kujo,Evaluate and select a Kujo capability,Relay,Relay — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Relay?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/runledger/,RunLedger,Kujo,Evaluate and select a Kujo capability,RunLedger,RunLedger — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use RunLedger?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/scent/,Scent,Kujo,Evaluate and select a Kujo capability,Scent,Scent — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Scent?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/scout/,Scout,Kujo,Evaluate and select a Kujo capability,Scout,Scout — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Scout?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/searchbridge/,SearchBridge,Kujo,Evaluate and select a Kujo capability,SearchBridge,SearchBridge — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use SearchBridge?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/shipcheck/,ShipCheck,Kujo,Evaluate and select a Kujo capability,ShipCheck,ShipCheck — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use ShipCheck?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/showcase/,Showcase,Kujo,Evaluate and select a Kujo capability,Showcase,Showcase ecosystem | Kujolang.ai,Kujo ecosystem,How do I use Showcase?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/sitekit/,SiteKit,Kujo,Evaluate and select a Kujo capability,SiteKit,SiteKit — Kujo Ecosystem | Kujolang.ai,Kujo ecosystem,How do I use SiteKit?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/siteprobe/,SiteProbe,Kujo,Evaluate and select a Kujo capability,SiteProbe,SiteProbe — Native Kujo Website Crawler | Kujolang.ai,Kujo ecosystem,How do I use SiteProbe?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/,Skills,Kujo,Evaluate and select a Kujo capability,Skills,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Skills?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-agents-sdk-workflows/,Agents SDK,Kujo,Evaluate and select a Kujo capability,Agents SDK,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Agents SDK?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-ai-chat-workflows/,Kujo AI Chat,Kujo,Evaluate and select a Kujo capability,Kujo AI Chat,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo AI Chat?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-ai-sdk-workflows/,Kujo AI SDK,Kujo,Evaluate and select a Kujo capability,Kujo AI SDK,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo AI SDK?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-assetworks-workflows/,Kujo AssetWorks,Kujo,Evaluate and select a Kujo capability,Kujo AssetWorks,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo AssetWorks?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-backlog-normalizer/,Kujo Backlog Normalizer,Kujo,Evaluate and select a Kujo capability,Kujo Backlog Normalizer,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Backlog Normalizer?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-benchmarks-capsule-workflows/,Kujo Benchmarks Capsule,Kujo,Evaluate and select a Kujo capability,Kujo Benchmarks Capsule,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Benchmarks Capsule?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-bluepencil-workflows/,Kujo BluePencil,Kujo,Evaluate and select a Kujo capability,Kujo BluePencil,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo BluePencil?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-casefile-workflows/,Kujo Casefile,Kujo,Evaluate and select a Kujo capability,Kujo Casefile,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Casefile?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-changebucket-workflows/,Kujo ChangeBucket,Kujo,Evaluate and select a Kujo capability,Kujo ChangeBucket,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo ChangeBucket?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-cli-contracts/,Kujo CLI Contracts,Kujo,Evaluate and select a Kujo capability,Kujo CLI Contracts,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo CLI Contracts?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-cms-workflows/,Kujo CMS,Kujo,Evaluate and select a Kujo capability,Kujo CMS,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo CMS?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-concord-workflows/,Kujo Concord,Kujo,Evaluate and select a Kujo capability,Kujo Concord,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Concord?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-contentgraph-workflows/,Kujo ContentGraph,Kujo,Evaluate and select a Kujo capability,Kujo ContentGraph,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo ContentGraph?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-core-language/,Kujo Core Language,Kujo,Evaluate and select a Kujo capability,Kujo Core Language,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Core Language?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-cross-repo-dogfood-runner/,Kujo Cross-Repo Dogfood Runner,Kujo,Evaluate and select a Kujo capability,Kujo Cross-Repo Dogfood Runner,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Cross-Repo Dogfood Runner?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-crud-api-workflows/,Kujo CRUD API,Kujo,Evaluate and select a Kujo capability,Kujo CRUD API,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo CRUD API?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-dependabot-alert-triage/,Kujo Dependabot Alert Triage,Kujo,Evaluate and select a Kujo capability,Kujo Dependabot Alert Triage,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Dependabot Alert Triage?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-dispatch-workflows/,Kujo Dispatch,Kujo,Evaluate and select a Kujo capability,Kujo Dispatch,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Dispatch?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-docgen-agent-readable/,Kujo DocGen And DocsGen,Kujo,Evaluate and select a Kujo capability,Kujo DocGen And DocsGen,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo DocGen And DocsGen?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-docgen-public-docs-refresh/,Kujo DocGen Public Docs Refresh,Kujo,Evaluate and select a Kujo capability,Kujo DocGen Public Docs Refresh,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo DocGen Public Docs Refresh?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-docs-drift-auditor/,Kujo Docs Drift Auditor,Kujo,Evaluate and select a Kujo capability,Kujo Docs Drift Auditor,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Docs Drift Auditor?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-dossier-workflows/,Kujo Dossier,Kujo,Evaluate and select a Kujo capability,Kujo Dossier,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Dossier?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-ecosystem-launch/,Kujo Ecosystem Launch,Kujo,Evaluate and select a Kujo capability,Kujo Ecosystem Launch,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Ecosystem Launch?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-enterprise-automation/,Kujo Enterprise Automation,Kujo,Evaluate and select a Kujo capability,Kujo Enterprise Automation,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Enterprise Automation?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-eval-workflows/,Kujo Eval,Kujo,Evaluate and select a Kujo capability,Kujo Eval,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Eval?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-fence-workflows/,Kujo Fence,Kujo,Evaluate and select a Kujo capability,Kujo Fence,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Fence?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-galleypack-workflows/,Kujo GalleyPack,Kujo,Evaluate and select a Kujo capability,Kujo GalleyPack,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo GalleyPack?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-howl-workflows/,Kujo Howl,Kujo,Evaluate and select a Kujo capability,Kujo Howl,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Howl?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-kennel-workflows/,Kujo Kennel,Kujo,Evaluate and select a Kujo capability,Kujo Kennel,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Kennel?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-language-implementation/,Kujo Language Implementation,Kujo,Evaluate and select a Kujo capability,Kujo Language Implementation,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Language Implementation?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-lens-workflows/,Kujo Lens,Kujo,Evaluate and select a Kujo capability,Kujo Lens,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Lens?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-loop-engineering-workflows/,Kujo Loop Engineering,Kujo,Evaluate and select a Kujo capability,Kujo Loop Engineering,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Loop Engineering?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-maintainer-review/,Kujo Maintainer Review,Kujo,Evaluate and select a Kujo capability,Kujo Maintainer Review,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Maintainer Review?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-mcp-workflows/,Kujo MCP,Kujo,Evaluate and select a Kujo capability,Kujo MCP,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo MCP?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-muzzle-workflows/,Kujo Muzzle,Kujo,Evaluate and select a Kujo capability,Kujo Muzzle,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Muzzle?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-packwrite-workflows/,Kujo PackWrite,Kujo,Evaluate and select a Kujo capability,Kujo PackWrite,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo PackWrite?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-patchbrief-workflows/,Kujo PatchBrief,Kujo,Evaluate and select a Kujo capability,Kujo PatchBrief,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo PatchBrief?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-presswire-workflows/,Kujo PressWire,Kujo,Evaluate and select a Kujo capability,Kujo PressWire,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo PressWire?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
after,https://kujolang.ai/ecosystem/skills/kujo-publishing-house-workflows/,Kujo Publishing House,Kujo,Evaluate and select a Kujo capability,Kujo Publishing House,HyperFrames video skills; ElevenLabs voice selection,Kujo Skills; HyperFrames; ElevenLabs,How do I use Kujo Publishing House?,No source-confirmed competing route,Editorial mapping hypothesis; no search-volume inference,Measure real queries when data access is provided
