phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://kujolang.ai/ecosystem/shipcheck/,Release readiness,ShipCheck,technical adoption,Kujo release readiness,"release gate|release checklist","Concord|ChangeBucket",How does Kujo verify release readiness?,,Needs sample gate report,Add verified report example
after,https://kujolang.ai/ecosystem/concord/,Artifact drift checks,Concord,technical adoption,artifact drift detection,"docs drift|spec drift|version drift","Spec|Eval",How are repository artifacts kept aligned?,,Needs drift case study,Add verified drift example
after,https://kujolang.ai/ecosystem/patchbrief/,Git diff handoffs,PatchBrief,technical adoption,git diff summary,"review handoff|test suggestions","ChangeBucket|RunLedger",How are code changes summarized for review?,,Needs example brief,Add verified redacted output
after,https://kujolang.ai/ecosystem/changebucket/,Change footprint budgets,ChangeBucket,technical adoption,code change budget,"blast radius|risk report","PatchBrief|ShipCheck",How can teams limit change footprint?,,Needs budget example,Add verified report
after,https://kujolang.ai/ecosystem/scent/,Agent context packs,Scent,technical adoption,AI context packaging,"context budgets|repository handoff","Scout|PackWrite",How is focused repository context packaged?,,Needs sample context pack,Add verified redacted output
after,https://kujolang.ai/ecosystem/scout/,Codebase intelligence,Scout,technical adoption,Kujo codebase intelligence,"repository map|llms.txt|agent context","Scent|security scans",How does an agent understand a new repository?,,Needs scan example,Add verified output and limits
after,https://kujolang.ai/ecosystem/lens/,Browser and visual QA,Lens,technical adoption,visual QA automation,"browser checks|accessibility checks|repair briefs","SiteKit|web testing",How does Kujo test web interfaces?,,Needs visual baseline example,Add verified run evidence
after,https://kujolang.ai/ecosystem/fence/,Architecture boundaries,Fence,technical adoption,architecture boundary checks,"dependency rules|architecture graph","Concord|ChangeBucket",How are architecture boundaries enforced?,,Needs violation example,Add verified example
after,https://kujolang.ai/ecosystem/ward/,Dependency security operations,Ward,technical adoption,Dependabot command center,"dependency remediation|security reports","ShipCheck|GitHub",How are dependency alerts remediated safely?,,Public repository returns 404,Owner must resolve source availability
after,https://kujolang.ai/ecosystem/howl/,Showcase rendering,Howl,technical adoption,Kujo visual renderer,"SVG cards|social cards|static gallery","SiteKit|SSG",How are deterministic visual artifacts rendered?,,Needs artifact example,Link verified gallery/output
after,https://kujolang.ai/ecosystem/packwrite/,Agent execution packs,PackWrite,technical adoption,agent execution pack,"agent prompts|model setup|offline fixtures","Scent|Spec",How is an agent task packaged for execution?,,Needs sample pack,Add verified redacted pack
after,https://kujolang.ai/ecosystem/workcell/,Contained execution,Workcell,technical adoption,contained agent execution,"sandbox boundary|execution workspace","Muzzle|agents",How is risky agent execution contained?,,Needs explicit threat model,Add reviewed security boundary evidence
after,https://kujolang.ai/ecosystem/redact/,Document sanitization,Redact,technical adoption,document redaction,"sensitive data removal|safe sharing","CaseFile|Scent",How are artifacts sanitized before sharing?,,Needs verification evidence,Add redacted test case
after,https://kujolang.ai/ecosystem/sitekit/,Interface system,SiteKit,technical adoption,Kujo design system,"accessible components|static UI","Lens|SSG",How are consistent Kujo interfaces built?,,Needs component documentation,Link verified component examples
after,https://kujolang.ai/ecosystem/ai-chat/,Multi-provider chat,Kujo AI Chat,technical adoption,local multi-provider AI chat,"streaming chat|encrypted keys|transcription","Kujo AI SDK|Watchdog",How does Kujo run local AI chat?,,Needs privacy/architecture example,Add verified deployment boundary
after,https://kujolang.ai/ecosystem/cms/,Server-first content system,Kujo CMS,technical adoption,Kujo CMS,"content models|delivery API|migrations","Kujo|webhooks",How do I build a CMS with Kujo?,,Needs API example,Add verified contract evidence
after,https://kujolang.ai/ecosystem/crud-api/,SQLite API showcase,Kujo CRUD API,technical adoption,Kujo CRUD API,"SQLite API|Next.js playground|auth","Kujo|CMS",How do I build a CRUD API with Kujo?,,Needs runnable walkthrough,Add verified demo evidence
after,https://kujolang.ai/ecosystem/ssg/,Static site generation,Kujo SSG,technical adoption,Kujo static site generator,"sitemap|feeds|templates|parallel build","SiteKit|Howl",How do I build a static site with Kujo?,,Needs benchmark or walkthrough,Add verified build example
after,https://kujolang.ai/ecosystem/totalrecall/,Local memory,TotalRecall,technical adoption,Kujo local memory,"agent memory|retrieval|local state","Scent|agents",How does Kujo preserve agent memory?,,Needs retrieval evidence,Add verified retrieval example and privacy boundary
