phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
after,https://kujolang.ai/ecosystem/eval/,content/ecosystem/13-eval.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/eval/,200,Eval — Kujo Ecosystem | Kujolang.ai,35,"Deterministic checks for files, commands, HTTP, JSON, snapshots, policy, and workflow artifacts with CI-friendly verdicts.",122,Eval,H2:Quick Install > H2:Give this prompt to your agent > H1:Eval > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,132,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,918f5c09af829aba0369913c1d74dce379e1aa388b49c225d1fcab3fd94a9f8c,
after,https://kujolang.ai/ecosystem/fence/,content/ecosystem/31-fence.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/fence/,200,Fence — Kujo Ecosystem | Kujolang.ai,36,"Architecture-boundary rules, import and layer checks, baselines, graphs, and JSON, Markdown, and SARIF reports.",111,Fence,H2:Quick Install > H2:Give this prompt to your agent > H1:Fence > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,125,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,cbad66bb75e4a6fee701fcd3d494a209ef77ff6267ba4586201f09ec4c3113d1,
after,https://kujolang.ai/ecosystem/howl/,content/ecosystem/33-howl.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/howl/,200,Howl — Kujo Ecosystem | Kujolang.ai,35,"Deterministic Markdown, HTML, SVG, gallery, card, and caption assets generated from trusted Kujo examples and manifests.",120,Howl,H2:Quick Install > H2:Give this prompt to your agent > H1:Howl > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,131,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,a3ff6e8896c7c04488f8cafbceea0e158b916045aa17d84e01d3bd5cf22bc1ec,
after,https://kujolang.ai/ecosystem/,templates/page-ecosystem.html,collection,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/,200,Ecosystem | Kujolang.ai,23,"Explore the Kujo ecosystem of language primitives, local-first tools, and inspectable AI-native application showcases.",118,Ecosystem,H2:Quick Install > H2:Give this prompt to your agent > H1:Ecosystem > H2:Primitives > H2:Kujo > H2:Kennel > H2:Spec > H2:Eval > H2:Scout > H2:Dispatch > H2:MCP > H2:RAG > H2:AI SDK > H2:Agents SDK > H2:Scent > H2:Fence > H2:Watchdog > H2:Leash > H2:Tooling > H2:Muzzle > H2:RunLedger > H2:ChangeBucket > H2:PatchBrief > H2:Concord > H2:ShipCheck > H2:PackWrite > H2:CaseFile > H2:Lens > H2:Ward > H2:Howl > H2:Workcell > H2:Redact > H2:SiteKit > H2:ContentGraph > H2:SearchBridge > H2:SiteProbe > H2:Skills > H2:Agents SDK > H2:Kujo AI Chat > H2:Kujo AI SDK > H2:Kujo Backlog Normalizer > H2:Kujo Benchmarks Capsule > H2:Kujo Casefile > H2:Workflows > H2:Agency Runner > H2:Agency Verified Fix Loop > H2:AI SDK Muzzle Benchmark > H2:AI SDK Watchdog Showcase > H2:Casefile Incident Evidence Packet > H2:Docsgen Repo Contract Runner > H2:Agents > H2:Dispatch > H2:Agents SDK > H2:Relay > H2:Showcase > H2:CMS > H2:CRUD API Showcase > H2:AI Chat > H2:SSG > H2:TotalRecall > H2:Tribunal > H2:Relay,1206,en,,,Kujo Team,no,CollectionPage|Organization,475,191,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,56,0,0,1,no,yes,no,no,6ebabe432cb44daf988f73d8fd6686310bb95c09dd5854a47e7c70979efe55fc,
after,https://kujolang.ai/ecosystem/kennel/,content/ecosystem/02-kennel.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/kennel/,200,Kennel — Kujo Ecosystem | Kujolang.ai,37,"Deterministic Kujo package and dependency workflows with manifests, lockfiles, source policy, trust policy, indexes, and mirrors.",129,Kennel,H2:Quick Install > H2:Give this prompt to your agent > H1:Kennel > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,133,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,eb43f0b8799b3715fb9ee82c3501e3fdf0cc16fc229ab3b5f035dbe10f11ecd8,
after,https://kujolang.ai/ecosystem/kujo/,content/ecosystem/01-kujo.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/kujo/,200,Kujo — Kujo Ecosystem | Kujolang.ai,35,"The VM-first programming language and runtime for AI-native software, local-first automation, agentic workflows, and practical scripting.",137,Kujo,H2:Quick Install > H2:Give this prompt to your agent > H1:Kujo > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,135,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,69e3b329e59fd535172529f1166a0a67c2de0e4ca056d4fe1e6b329251e84132,
after,https://kujolang.ai/ecosystem/leash/,content/ecosystem/18-leash.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/leash/,200,Leash — Kujo Ecosystem | Kujolang.ai,36,"A local approval layer for AI coding agents with policy-as-code, mobile decisions, risk classification, adapters, and append-only audit trails.",143,Leash,H2:Quick Install > H2:Give this prompt to your agent > H1:Leash > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,150,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,fc05dbfd51e02869b07e1046928c71c458130d24613fa08dce2d9cc0498324d1,
after,https://kujolang.ai/ecosystem/lens/,content/ecosystem/30-lens.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/lens/,200,Lens — Kujo Ecosystem | Kujolang.ai,35,"Deterministic browser checks, screenshots, console and network evidence, accessibility findings, visual baselines, flows, and repair briefs.",140,Lens,H2:Quick Install > H2:Give this prompt to your agent > H1:Lens > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,130,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,52097c7d329b96456a9de5147eefb745d25cb86f60fdba0a4d16c68bcc559ab6,
after,https://kujolang.ai/ecosystem/mcp/,content/ecosystem/16-mcp.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/mcp/,200,MCP — Kujo Ecosystem | Kujolang.ai,34,"A framework and scaffold for MCP servers with tools, resources, path guards, authentication, limits, safety tiers, and multi-root workspaces.",141,MCP,H2:Quick Install > H2:Give this prompt to your agent > H1:MCP > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,136,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,59422483b7ba077c2c4a1d2bb241a40662d7caad062877da0c412904479bab61,
after,https://kujolang.ai/ecosystem/muzzle/,content/ecosystem/23-muzzle.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/muzzle/,200,Muzzle — Kujo Ecosystem | Kujolang.ai,37,"Quiet workflow execution with full disk logs, compact summaries, manifests, loop state, dry runs, and secret redaction.",119,Muzzle,H2:Quick Install > H2:Give this prompt to your agent > H1:Muzzle > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,136,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,1e7dc1a707d9fc4d5d3663adbc2191c3cfad1122cf7c32746ccd7ed38ed94a3d,
after,https://kujolang.ai/ecosystem/packwrite/,content/ecosystem/34-packwrite.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/packwrite/,200,PackWrite — Kujo Ecosystem | Kujolang.ai,40,"Validated agent execution packs compiled from a large prompt and repository context, including phases, handoffs, and review checklists.",135,PackWrite,H2:Quick Install > H2:Give this prompt to your agent > H1:PackWrite > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,130,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,fbc56b323fc0abcca34a8bc9e53ba4e5837c1bbd2409a8d82468317fcf04e33d,
after,https://kujolang.ai/ecosystem/patchbrief/,content/ecosystem/26-patchbrief.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/patchbrief/,200,PatchBrief — Kujo Ecosystem | Kujolang.ai,41,"Deterministic git-diff summaries, implementation handoffs, changed-file risk notes, reviewer context, and suggested tests.",122,PatchBrief,H2:Quick Install > H2:Give this prompt to your agent > H1:PatchBrief > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,131,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,46768f9b33e2b8e96f28c751f0100f16897746088310175849b7d38895590320,
after,https://kujolang.ai/ecosystem/primitives/,templates/page-ecosystem-section.html,collection,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/primitives/,200,Primitives ecosystem | Kujolang.ai,34,"Build from the Kujo language, package foundation, runtimes, SDKs, and reusable components designed for explicit, inspectable AI-native software.",144,Primitives,H2:Quick Install > H2:Give this prompt to your agent > H1:Primitives > H2:Primitive catalog > H2:Kujo > H2:Kennel > H2:Spec > H2:Eval > H2:Scout > H2:Dispatch > H2:MCP > H2:RAG > H2:AI SDK > H2:Agents SDK > H2:Scent > H2:Fence > H2:Watchdog > H2:Leash,331,en,,,Kujo Team,no,CollectionPage|Organization,329,70,7,0,NOT AVAILABLE — DATA ACCESS REQUIRED,17,0,0,1,no,yes,no,no,d4e4856a7efdd14de708cfb997377c8d80186c709b8048f17e08d842e322feb5,
after,https://kujolang.ai/ecosystem/rag/,content/ecosystem/17-rag.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/rag/,200,RAG — Kujo Ecosystem | Kujolang.ai,34,"A local retrieval kit for ingest, parsing, chunking, embeddings, hybrid search, namespaces, citations, query APIs, and starter templates.",137,RAG,H2:Quick Install > H2:Give this prompt to your agent > H1:RAG > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,135,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,a24544ffcb9d51f50c8dc992fb82e8f53234f2c4dc5817bba3091b8907c98e28,
after,https://kujolang.ai/ecosystem/redact/,content/ecosystem/36-redact.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/redact/,200,Redact — Kujo Ecosystem | Kujolang.ai,37,"Deterministic, local-first redaction for Markdown and text files using explicit policies, pattern detectors, transformations, leakage checks, and audit artifacts.",162,Redact,H2:Quick Install > H2:Give this prompt to your agent > H1:Redact > H2:What it does > H2:Reviewable output > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,233,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,a4fed83a8bbc52c4763a3adc502cb630f84ebd4eba52599822e2d0e683fa64b4,
after,https://kujolang.ai/ecosystem/relay/,content/ecosystem/46-relay.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/relay/,200,Relay — Kujo Ecosystem | Kujolang.ai,36,"A local, operator-controlled composition and execution layer for bounded agent missions, policy-checked tools, and verifiable evidence.",135,Relay,H2:Quick Install > H2:Give this prompt to your agent > H1:Relay > H2:What it does > H2:Policy-bound execution > H2:Durable mission evidence > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,340,en,,,Kujo Team,no,Organization|SoftwareSourceCode,9,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,c966e8064da04de70f98f8bd2b39e6d828abdc22ea346c83e54936c2599629ea,
after,https://kujolang.ai/ecosystem/runledger/,content/ecosystem/21-runledger.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/runledger/,200,RunLedger — Kujo Ecosystem | Kujolang.ai,40,"Durable receipts for tasks, models, providers, git state, changed files, usage, cost, verdicts, follow-ups, comparisons, and reports.",133,RunLedger,H2:Quick Install > H2:Give this prompt to your agent > H1:RunLedger > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,134,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,fae4a02c978884e38ea3619c2689ca3f4e27acc0db43b15d47837e8706d5b6d8,
after,https://kujolang.ai/ecosystem/scent/,content/ecosystem/28-scent.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/scent/,200,Scent — Kujo Ecosystem | Kujolang.ai,36,"Bounded task context packs with Markdown, JSON, manifests, selected files, changed-file focus, token budgets, and redaction records.",132,Scent,H2:Quick Install > H2:Give this prompt to your agent > H1:Scent > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,136,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,636b97695ffa277893cd3adc7b155073fa28b1f0c99b1ee9535527da90550292,
after,https://kujolang.ai/ecosystem/scout/,content/ecosystem/29-scout.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/scout/,200,Scout — Kujo Ecosystem | Kujolang.ai,36,"Repository intelligence packs with trees, languages, dependencies, routes, security signals, llms.txt, checklists, and structured indexes.",138,Scout,H2:Quick Install > H2:Give this prompt to your agent > H1:Scout > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,128,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,460479524b6b481c74cafd2f40529a26d4753d56f6fa5627b96349ca34277e87,
after,https://kujolang.ai/ecosystem/searchbridge/,content/ecosystem/39-searchbridge.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/searchbridge/,200,SearchBridge — Kujo Ecosystem | Kujolang.ai,43,"A normalized external-data layer for search, analytics, page performance, field data, backlinks, keyword evidence, and explicit index submission.",145,SearchBridge,H2:Quick Install > H2:Give this prompt to your agent > H1:SearchBridge > H2:What it does > H2:Capability-scoped providers > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,249,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,39727cec7f8a8febef4b2a61b8921b87cc561e3bfc3528b385bfd2ddcb1cabe3,
after,https://kujolang.ai/ecosystem/shipcheck/,content/ecosystem/24-shipcheck.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/shipcheck/,200,ShipCheck — Kujo Ecosystem | Kujolang.ai,40,"Release-readiness scans, checklists, gates, release-note drafts, Markdown and JSON reports, and deterministic verdict semantics.",128,ShipCheck,H2:Quick Install > H2:Give this prompt to your agent > H1:ShipCheck > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,132,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,7389c3ab6b58c3c53819633d0faef6fe71d3a318703830834e34565dadd1e1d5,
after,https://kujolang.ai/ecosystem/showcase/,templates/page-ecosystem-section.html,collection,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/showcase/,200,Showcase ecosystem | Kujolang.ai,32,"Explore complete, inspectable applications that demonstrate how Kujo projects fit together across APIs, content systems, retrieval, chat, and agent workflows.",158,Showcase,H2:Quick Install > H2:Give this prompt to your agent > H1:Showcase > H2:Showcase catalog > H2:CMS > H2:CRUD API Showcase > H2:AI Chat > H2:SSG > H2:TotalRecall > H2:Tribunal > H2:Relay,205,en,,,Kujo Team,no,CollectionPage|Organization,322,49,7,0,NOT AVAILABLE — DATA ACCESS REQUIRED,10,0,0,1,no,yes,no,no,ac87ae6c370ae584662dee4c4f4cb888f313a9a9bef4091f674aa988a1880694,
after,https://kujolang.ai/ecosystem/sitekit/,content/ecosystem/37-sitekit.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/sitekit/,200,SiteKit — Kujo Ecosystem | Kujolang.ai,38,"A source-driven design system for accessible, semantic, token-based static websites and web interfaces.",103,SiteKit,H2:Quick Install > H2:Give this prompt to your agent > H1:SiteKit > H2:What it does > H2:Built for durable pages > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,249,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,df7e1d67047a37509ce5a18134195bdd51ce02aac747f7371eb88871eccd3eb9,
